Title,Author,Average rating,Number of Ratings,Year,Book description,Book image,Genre
Concerning the Spiritual in Art (Paperback),Wassily Kandinsky,3.83,80215,1947,"A pioneering work in the movement to free art from its traditional bonds to material reality, this book is one of the most important documents in the history of modern art. Written by the famous nonobjective painter Wassily Kandinsky (1866–1944), it explains Kandinsky's own theory of painting and crystallizes the ideas that were influencing many other modern artists of theA pioneering work in the movement to free art from its traditional bonds to material reality, this book is one of the most important documents in the history of modern art. Written by the famous nonobjective painter Wassily Kandinsky (1866–1944), it explains Kandinsky's own theory of painting and crystallizes the ideas that were influencing many other modern artists of the period. Along with his own groundbreaking paintings, this book had a tremendous impact on the development of modern art.Kandinsky's ideas are presented in two parts. The first part, called ""About General Aesthetic,"" issues a call for a spiritual revolution in painting that will let artists express their own inner lives in abstract, non-material terms. Just as musicians do not depend upon the material world for their music, so artists should not have to depend upon the material world for their art. In the second part, ""About Painting,"" Kandinsky discusses the psychology of colors, the language of form and color, and the responsibilities of the artist. An Introduction by the translator, Michael T. H. Sadler, offers additional explanation of Kandinsky's art and theories, while a new Preface by Richard Stratton discusses Kandinsky's career as a whole and the impact of the book. Making the book even more valuable are nine woodcuts by Kandinsky himself that appear at the chapter headings.This English translation of  was a significant contribution to the understanding of nonobjectivism in art. It continues to be a stimulating and necessary reading experience for every artist, art student, and art patron concerned with the direction of 20th-century painting.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405982387l/857502.jpg,"['Art', 'Nonfiction', 'Philosophy', 'Art', 'Art History', 'Spirituality', 'Religion', 'Classics', 'Writing', 'Essays', 'Art', 'Art Design', 'Design']"
Seven Days in the Art World (Paperback),Sarah Thornton,3.61,59709,2008,"Named one of the best art books of 2008 by The New York Times and The Sunday Times [London]: “An indelible portrait of a peculiar society.”—Vogue The art market has been booming. Museum attendance is surging. More people than ever call themselves artists. Contemporary art has become a mass entertainment, a luxury good, a job description, and, for some, a kind of alternativNamed one of the best art books of 2008 by The New York Times and The Sunday Times [London]: “An indelible portrait of a peculiar society.”—Vogue The art market has been booming. Museum attendance is surging. More people than ever call themselves artists. Contemporary art has become a mass entertainment, a luxury good, a job description, and, for some, a kind of alternative religion.   In a series of beautifully paced narratives, Sarah Thornton investigates the drama of a Christie's auction, the workings in Takashi Murakami's studios, the elite at the Basel Art Fair, the eccentricities of Artforum magazine, the competition behind an important art prize, life in a notorious art-school seminar, and the wonderland of the Venice Biennale. She reveals the new dynamics of creativity, taste, status, money, and the search for meaning in life. A judicious and juicy account of the institutions that have the power to shape art history, based on hundreds of interviews with high-profile players, Thornton's entertaining ethnography will change the way you look at contemporary culture. 8 illustrations.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358748500l/6988014.jpg,"['Art', 'Nonfiction', 'Art', 'Art History', 'Sociology', 'Writing', 'Essays', 'History', 'Business', 'Art', 'Art Design', 'Unfinished', 'Autobiography', 'Memoir']"
The Goldfinch (Hardcover),Donna Tartt,3.92,786016,2013,"Winner of the Pulitzer Prize for Fiction 2014Aged thirteen, Theo Decker, son of a devoted mother and a reckless, largely absent father, survives an accident that otherwise tears his life apart. Alone and rudderless in New York, he is taken in by the family of a wealthy friend. He is tormented by an unbearable longing for his mother, and down the years clings to the thing tWinner of the Pulitzer Prize for Fiction 2014Aged thirteen, Theo Decker, son of a devoted mother and a reckless, largely absent father, survives an accident that otherwise tears his life apart. Alone and rudderless in New York, he is taken in by the family of a wealthy friend. He is tormented by an unbearable longing for his mother, and down the years clings to the thing that most reminds him of her: a small, strangely captivating painting that ultimately draws him into the criminal underworld. As he grows up, Theo learns to glide between the drawing rooms of the rich and the dusty antiques store where he works. He is alienated and in love - and his talisman, the painting, places him at the centre of a narrowing, ever more dangerous circle.The Goldfinch is a haunted odyssey through present-day America and a drama of enthralling power. Combining unforgettably vivid characters and thrilling suspense, it is a beautiful, addictive triumph - a sweeping story of loss and obsession, of survival and self-invention, of the deepest mysteries of love, identity and fate.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378710146l/17333223.jpg,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Art', 'Adult', 'Novels', 'Mystery', 'Adult Fiction', 'Literature']"
History of Beauty (Paperback),Umberto Eco,3.81,54955,2004,"Umberto Eco’s groundbreaking and much-acclaimed first illustrated book has been a critical success since its first publication in 2004. What is beauty? Umberto Eco, among Italy’s finest and most important contemporary thinkers, explores the nature, the meaning, and the very history of the idea of beauty in Western culture. The profound and subtle text is lavishly illustratUmberto Eco’s groundbreaking and much-acclaimed first illustrated book has been a critical success since its first publication in 2004. What is beauty? Umberto Eco, among Italy’s finest and most important contemporary thinkers, explores the nature, the meaning, and the very history of the idea of beauty in Western culture. The profound and subtle text is lavishly illustrated with abundant examples of sublime painting and sculpture and lengthy quotations from writers and philosophers. This is the first paperback edition of , making this intellectual and philosophical journey with one of the world’s most acclaimed thinkers available in a more compact and affordable format.From the Trade Paperback edition",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386926937l/10505.jpg,"['Art', 'Nonfiction', 'History', 'Philosophy', 'Art', 'Art History', 'European Literature', 'Italian Literature', 'Cultural', 'Italy', 'Reference', 'Historical', 'Writing', 'Essays']"
On Photography (Paperback),Susan Sontag,3.86,41188,1973,"First published in 1973, this is a study of the force of photographic images which are continually inserted between experience and reality. Sontag develops further the concept of 'transparency'. When anything can be photographed and photography has destroyed the boundaries and definitions of art, a viewer can approach a photograph freely with no expectations of discoveringFirst published in 1973, this is a study of the force of photographic images which are continually inserted between experience and reality. Sontag develops further the concept of 'transparency'. When anything can be photographed and photography has destroyed the boundaries and definitions of art, a viewer can approach a photograph freely with no expectations of discovering what it means. This collection of six lucid and invigorating essays, the most famous being ""In Plato's Cave"", make up a deep exploration of how the image has affected society.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328061531l/52372.jpg,"['Art', 'Photography', 'Nonfiction', 'Art', 'Writing', 'Essays', 'Philosophy', 'Philosophy', 'Theory', 'Criticism', 'History', 'Art and Photography', 'Literature', 'American']"
The Diary of Frida Kahlo: An Intimate Self-Portrait (Hardcover),Frida Kahlo,3.90,40395,1995,"Published here in its entirety, Frida Kahlo's amazing illustrated journal documents the last ten years of her turbulent life. This passionate, often surprising, intimate record, kept under lock and key for some forty years in Mexico, reveals many new dimensions in the complex persona of this remarkable Mexican artist.Covering the years 1944-45, the 170-page journal containPublished here in its entirety, Frida Kahlo's amazing illustrated journal documents the last ten years of her turbulent life. This passionate, often surprising, intimate record, kept under lock and key for some forty years in Mexico, reveals many new dimensions in the complex persona of this remarkable Mexican artist.Covering the years 1944-45, the 170-page journal contains Frida's thoughts, poems, and dreams, and reflects her stormy relationship with her husband, Diego Rivera, Mexico's famous artist. The seventy watercolor illustrations in the journal - some lively sketches, several elegant self-portraits, others complete paintings - offer insights into her creative process, and show her frequently using the journal to work out pictorial ideas for her canvases.The text entries, written in Frida's round, full script in brightly colored inks, add an almost decorative quality, making the journal as captivating to look at as it is to read. Frida's childhood, her political sensibilities, and her obsession with Diego are all illuminated in witty phrases and haunting images.Although much has been written recently about this extraordinary woman, Frida Kahlo's art and life continue to fascinate the world. This personal document, published in a complete full-color facsimile edition, will add greatly to the understanding of her unique and powerful vision and her enormous courage in the face of more than thirty-five operations to correct injuries she had sustained in an accident at the age of eighteen. The facsimile is accompanied by an introduction by the world-renowned Mexican man of letters Carlos Fuentes and a complete translation of the diary's text. An essay on the place of the diary in Frida's work and in art history at large, as well as commentaries on the images, is provided by Sarah M. Lowe.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407009131l/91760.jpg,"['Art', 'Nonfiction', 'Biography', 'Autobiography', 'Memoir', 'Feminism', 'Biography Memoir', 'Art', 'Art History', 'Biography', 'Autobiography', 'History', 'Womens']"
Understanding Comics: The Invisible Art (Paperback),Scott McCloud,3.99,113118,1993,"Scott McCloud's Understanding Comics is a seminal examination of comics art: its rich history, surprising technical components, and major cultural significance. Explore the secret world between the panels, through the lines, and within the hidden symbols of a powerful but misunderstood art form.Scott McCloud's Understanding Comics is a seminal examination of comics art: its rich history, surprising technical components, and major cultural significance. Explore the secret world between the panels, through the lines, and within the hidden symbols of a powerful but misunderstood art form.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328408101l/102920.jpg,"['Sequential Art', 'Comics', 'Sequential Art', 'Graphic Novels', 'Nonfiction', 'Art', 'Design', 'Graphic Novels Comics', 'Language', 'Writing', 'Reference', 'Comics', 'Comic Book', 'History']"
M.C. Escher: The Graphic Work (Paperback),M.C. Escher,3.93,65265,1954,"Presenting the structurally unthinkable as though it were a law of nature M.C. Escher was born in 1898 in Leeuwarden (Netherlands). He received his first drawing lessons during secondary school from F.W. van der Haagen, who also taught him the block printing, thus fostering Escher's innate graphic talents. From 1912 to 1922 he studied at the School of Architecture and OrnaPresenting the structurally unthinkable as though it were a law of nature M.C. Escher was born in 1898 in Leeuwarden (Netherlands). He received his first drawing lessons during secondary school from F.W. van der Haagen, who also taught him the block printing, thus fostering Escher's innate graphic talents. From 1912 to 1922 he studied at the School of Architecture and Ornamental Design in Haarlem, where he was instructed in graphic techniques by S. Jessurun de Mesquita, who greatly influenced Escher's further artistic development. Between 1922 and 1934 the artist lived and worked in Italy. Afterwards Escher spent two years in Switzerland and five in Brussels before finally moving back to Barn in Holland, where he died in 1972. M.C. Escher is not a surrealist drawing us into his dream world, but an architect of perfectly impossible worlds who presents the structurally unthinkable as though it were a law of nature. The resulting dimensional and perspectival illusions bring us into confrontation with the limitations of our sensory perception. About the Series:  Each book in TASCHEN's Basic Art series features:a detailed chronological summary of the life and oeuvre of the artist, covering his or her cultural and historical importance a concise biography approximately 100 illustrations with explanatory captions",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388377308l/276287.jpg,"['Art', 'Nonfiction', 'Design', 'Reference', 'Art', 'Art History', 'Biography', 'Art', 'Art Design', 'Art', 'Drawing', 'Science', 'Childrens', 'Picture Books']"
Art Through the Ages  (Hardcover),Helen Gardner,3.83,38409,1926,"The market-leading text for the art history survey course, GARDNER'S ART THROUGH THE AGES has served as a comprehensive and thoughtfully crafted guide to the defining phases of the world's artistic tradition. With this book in hand, thousands of students have watched the story of art unfold in its full historical, social, religious, economic, and cultural context, and thusThe market-leading text for the art history survey course, GARDNER'S ART THROUGH THE AGES has served as a comprehensive and thoughtfully crafted guide to the defining phases of the world's artistic tradition. With this book in hand, thousands of students have watched the story of art unfold in its full historical, social, religious, economic, and cultural context, and thus deepened their understanding of art, architecture, painting, and sculpture. By virtue of its comprehensive coverage, strong emphasis on context, and rich, accurate art reproductions, GARDNER'S ART THROUGH THE AGES has earned and sustained a reputation of excellence and authority. So much so, that in 2001, the Text and Academic Authors Association awarded both the McGuffey and the ""Texty"" Book Prizes to the Eleventh Edition of the text. It is the first art history book to win either award and the only title ever to win both prizes in one year. The Twelfth Edition maintains and exceeds the richness of the Gardner legacy with updated research and scholarship and an even more beautiful art program featuring more color images than any other art history book available. The Twelfth Edition features such enhancements as more color photographs, a stunning new design, and the most current research and scholarship. What's more, the expanded ancillary package that accompanies GARDNER'S ART THROUGH THE AGES, features a wealth of tools to enhance your students' experience in the course. With each new copy of the book, students receive a copy of the ArtStudy 2.0 CD-ROM--an interactive electronic study aid that fully integrates with the Twelfth Edition and includes hundreds of high-quality digital images, plus maps, quizzes, and more.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1168391513l/32525.jpg,"['Art', 'Nonfiction', 'History', 'Art', 'Art History', 'Reference', 'Textbooks', 'Academic', 'School', 'Architecture', 'Art', 'Art Design', 'Design']"
The War of Art: Winning the Inner Creative Battle (Paperback),Steven Pressfield,3.99,84825,2002,NaN,NaN,[]
Color: A Natural History of the Palette (Paperback),Victoria Finlay,3.80,65177,2003,"Discover the tantalizing true stories behind your favorite colors.For example: Cleopatra used saffron—a source of the color yellow—for seduction. Extracted from an Afghan mine, the blue “ultramarine” paint used by Michelangelo was so expensive he couldn’t afford to buy it himself. Since ancient times, carmine red—still found in lipsticks and Cherry Coke today—has come fromDiscover the tantalizing true stories behind your favorite colors.For example: Cleopatra used saffron—a source of the color yellow—for seduction. Extracted from an Afghan mine, the blue “ultramarine” paint used by Michelangelo was so expensive he couldn’t afford to buy it himself. Since ancient times, carmine red—still found in lipsticks and Cherry Coke today—has come from the blood of insects.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427998243l/19596.jpg,"['Nonfiction', 'Art', 'History', 'Science', 'Travel', 'Art', 'Art History', 'History', 'Microhistory', 'Design', 'Historical', 'Reference']"
Leonardo da Vinci (Hardcover),Walter Isaacson,4.14,81399,2017,"Based on thousands of pages from Leonardo's astonishing notebooks and new discoveries about his life and work, Walter Isaacson weaves a narrative that connects his art to his science. He shows how Leonardo's genius was based on skills we can improve in ourselves, such as passionate curiosity, careful observation, and an imagination so playful that it flirted with fantasy. Based on thousands of pages from Leonardo's astonishing notebooks and new discoveries about his life and work, Walter Isaacson weaves a narrative that connects his art to his science. He shows how Leonardo's genius was based on skills we can improve in ourselves, such as passionate curiosity, careful observation, and an imagination so playful that it flirted with fantasy. He produced the two most famous paintings in history, The Last Supper and the Mona Lisa. But in his own mind, he was just as much a man of science and technology. With a passion that sometimes became obsessive, he pursued innovative studies of anatomy, fossils, birds, the heart, flying machines, botany, geology, and weaponry. His ability to stand at the crossroads of the humanities and the sciences, made iconic by his drawing of Vitruvian Man, made him history's most creative genius",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523543570l/34684622._SY475_.jpg,"['Biography', 'Nonfiction', 'History', 'Art', 'Science', 'Biography Memoir', 'Audiobook', 'Cultural', 'Italy', 'Historical', 'Art', 'Art History']"
The Lives of the Artists (Paperback),Giorgio Vasari,3.76,28740,1550,"Packed with facts, attributions, and entertaining anecdotes about his contemporaries, Giorgio Vasari's collection of biographical accounts also presents a highly influential theory of the development of Renaissance art.Beginning with Cimabue and Giotto, who represent the infancy of art, Vasari considers the period of youthful vigour, shaped by Donatello, Brunelleschi, GhibPacked with facts, attributions, and entertaining anecdotes about his contemporaries, Giorgio Vasari's collection of biographical accounts also presents a highly influential theory of the development of Renaissance art.Beginning with Cimabue and Giotto, who represent the infancy of art, Vasari considers the period of youthful vigour, shaped by Donatello, Brunelleschi, Ghiberti, and Masaccio, before discussing the mature period of perfection, dominated by the titanic figures of Leonardo, Raphael, and Michelangelo.This specially commissioned translation contains thirty-six of the most important lives as well as an introduction and explanatory notes.About the Series:For over 100 years Oxford World's Classics has made available the widest range of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, helpful notes to clarify the text, up-to-date bibliographies for further study, and much more.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387708111l/233389.jpg,"['Art', 'History', 'Biography', 'Nonfiction', 'Art', 'Art History', 'Classics', 'Cultural', 'Italy', 'European Literature', 'Italian Literature', 'Literature', '16th Century', 'Biography Memoir']"
Vincent Van Gogh: The Complete Paintings (Hardcover),Rainer Metzger,4.11,43984,1988,"Van Gogh, who took up a variety of professions before becoming an artist, was a solitary, despairing and self-destructive man. This richly illustrated and expert study follows the artist from the early gloom-laden paintings in which he captured the misery of peasants and workers in his homeland, through his bright and colorful Parisian period, to the work of his final yearVan Gogh, who took up a variety of professions before becoming an artist, was a solitary, despairing and self-destructive man. This richly illustrated and expert study follows the artist from the early gloom-laden paintings in which he captured the misery of peasants and workers in his homeland, through his bright and colorful Parisian period, to the work of his final years, spent under a southern sun in Arles.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347681065l/203805.jpg,"['Art', 'Nonfiction', 'Art', 'Art History', 'Biography', 'History', 'Reference', 'Art', 'Art Design', 'Design', 'Cultural', 'France', 'Art', 'Visual Art']"
